week_start_date,sku_id,product_family,demand_qty,future_4wk_avg_demand,unit_cost,on_hand_qty,supplier_id,lead_time_days,stockout_flag
2024-11-11,CB-1048,Molded Case,57.0,53.8,113.85,103,SUP-100,35,0
2025-07-21,CB-1120,Molded Case,0.0,0.0,116.54,18,SUP-100,42,0
2025-09-01,CB-1016,Molded Case,101.0,101.2,121.39,272,SUP-104,7,0
2025-09-15,CB-1091,Contact Assembly,0.0,13.0,101.05,0,SUP-107,21,0
2025-06-23,CB-1131,Contact Assembly,35.0,36.0,97.06,71,SUP-111,14,0
2024-08-19,CB-1163,Contact Assembly,0.0,5.5,151.05,0,SUP-107,35,0
2024-05-13,CB-1164,Molded Case,57.0,61.2,179.84,102,SUP-108,14,0
2024-02-19,CB-1199,Contact Assembly,20.0,25.2,113.62,106,SUP-107,14,0
2024-02-26,CB-1187,Contact Assembly,19.0,48.8,169.46,103,SUP-107,14,0
2024-04-15,CB-1036,Molded Case,68.0,63.2,91.44,0,SUP-100,35,1
2024-12-30,CB-1185,Trip Unit,64.0,63.8,170.42,158,SUP-105,21,0
2024-11-25,CB-1128,Molded Case,64.0,63.5,170.92,166,SUP-108,21,0
2025-03-24,CB-1002,Terminal Block,63.0,48.5,19.22,231,SUP-102,21,0
2025-09-08,CB-1172,Molded Case,99.0,100.0,144.67,227,SUP-104,14,0
2025-06-23,CB-1105,Trip Unit,79.0,90.5,57.58,35,SUP-109,14,0
2025-12-08,CB-1065,Trip Unit,68.0,66.8,43.36,286,SUP-105,28,0
2025-06-16,CB-1166,Terminal Block,0.0,12.5,7.65,60,SUP-110,28,0
2024-11-18,CB-1005,Trip Unit,57.0,55.0,116.79,185,SUP-105,14,0
2025-12-15,CB-1039,Contact Assembly,24.0,28.8,18.06,65,SUP-103,28,0
2025-08-25,CB-1071,Contact Assembly,87.0,84.5,178.65,377,SUP-111,14,0
2024-07-01,CB-1086,Terminal Block,0.0,0.0,129.48,90,SUP-102,28,0
2025-07-07,CB-1135,Contact Assembly,40.0,42.0,131.31,147,SUP-103,28,0
2024-03-18,CB-1016,Molded Case,119.0,123.0,121.39,334,SUP-104,7,0
2024-12-02,CB-1059,Contact Assembly,59.0,63.0,94.92,209,SUP-111,42,0
2024-03-25,CB-1133,Trip Unit,56.0,37.0,125.83,129,SUP-101,7,0
2025-02-24,CB-1133,Trip Unit,73.0,50.5,125.83,48,SUP-101,7,0
2025-09-01,CB-1074,Terminal Block,62.0,66.5,139.53,191,SUP-102,42,0
2025-10-20,CB-1173,Trip Unit,51.0,20.5,126.42,14,SUP-105,7,0
2025-02-17,CB-1070,Terminal Block,0.0,0.0,31.72,49,SUP-110,28,0
2024-03-11,CB-1097,Trip Unit,0.0,0.0,43.79,48,SUP-101,14,0
2025-12-15,CB-1040,Molded Case,70.0,64.2,173.24,41,SUP-104,21,0
2024-04-22,CB-1008,Molded Case,0.0,14.0,114.62,26,SUP-108,28,0
2024-09-02,CB-1035,Contact Assembly,94.0,91.8,84.48,614,SUP-111,35,0
2025-03-31,CB-1065,Trip Unit,97.0,89.5,43.36,197,SUP-105,28,0
2024-06-24,CB-1193,Trip Unit,75.0,74.5,106.92,189,SUP-101,42,0
