sku_id,sb_class,method,backtest_mae,backtest_bias,forecast_mean_next_horizon
CB-1001,Intermittent,Croston-SBA,4.24,3.61,4.22
CB-1002,Smooth,Pooled-seasonal Holt,15.1,-5.18,64.16
CB-1003,Intermittent,Croston-SBA,13.69,0.75,7.56
CB-1004,Smooth,Pooled-seasonal Holt,10.11,-9.89,165.57
CB-1005,Smooth,Pooled-seasonal Holt,2.94,0.32,70.63
CB-1006,Intermittent,Croston-SBA,13.63,-5.11,7.96
CB-1007,Smooth,Pooled-seasonal Holt,10.09,-5.18,142.41
CB-1008,Intermittent,Croston-SBA,17.0,-8.69,10.16
CB-1009,Intermittent,Croston-SBA,10.65,-5.71,4.75
CB-1010,Intermittent,Croston-SBA,13.37,-7.14,7.06
CB-1011,Smooth,Pooled-seasonal Holt,6.3,0.58,142.07
CB-1012,Smooth,Pooled-seasonal Holt,8.91,-4.67,147.75
CB-1013,Smooth,Pooled-seasonal Holt,20.65,-7.58,103.4
CB-1014,Smooth,Pooled-seasonal Holt,7.31,-5.39,104.59
CB-1015,Smooth,Pooled-seasonal Holt,6.36,-2.53,143.07
CB-1016,Smooth,Pooled-seasonal Holt,8.73,2.35,132.63
CB-1017,Smooth,Pooled-seasonal Holt,5.78,-5.22,65.57
CB-1018,Smooth,Pooled-seasonal Holt,6.13,-2.89,135.31
CB-1019,Intermittent,Croston-SBA,14.46,1.54,10.24
CB-1020,Smooth,Pooled-seasonal Holt,15.13,-10.18,48.26
CB-1021,Smooth,Pooled-seasonal Holt,5.16,1.25,87.87
CB-1022,Smooth,Pooled-seasonal Holt,12.3,-7.08,47.27
CB-1023,Intermittent,Croston-SBA,17.56,-8.63,9.76
CB-1024,Smooth,Pooled-seasonal Holt,6.24,-5.25,70.25
CB-1025,Smooth,Pooled-seasonal Holt,23.15,-1.86,111.87
CB-1026,Intermittent,Croston-SBA,9.48,-1.67,6.81
CB-1027,Smooth,Pooled-seasonal Holt,15.15,-2.69,70.42
CB-1028,Smooth,Pooled-seasonal Holt,4.38,1.31,132.34
CB-1029,Smooth,Pooled-seasonal Holt,6.58,-5.72,103.37
CB-1030,Smooth,Pooled-seasonal Holt,5.56,0.21,120.72
CB-1031,Smooth,Pooled-seasonal Holt,3.44,-3.05,66.93
CB-1032,Smooth,Pooled-seasonal Holt,11.81,-1.79,56.0
CB-1033,Smooth,Pooled-seasonal Holt,11.57,-6.82,34.53
CB-1034,Smooth,Pooled-seasonal Holt,7.03,-7.03,99.27
CB-1035,Smooth,Pooled-seasonal Holt,8.96,-8.15,146.16
CB-1036,Smooth,Pooled-seasonal Holt,3.79,-2.71,65.92
CB-1037,Smooth,Pooled-seasonal Holt,7.22,0.17,76.57
CB-1038,Smooth,Pooled-seasonal Holt,4.23,-1.08,66.63
CB-1039,Smooth,Pooled-seasonal Holt,14.04,5.6,44.8
CB-1040,Smooth,Pooled-seasonal Holt,3.85,-0.31,77.29
CB-1041,Intermittent,Croston-SBA,21.31,-18.51,10.47
CB-1042,Intermittent,Croston-SBA,14.87,-5.89,7.98
CB-1043,Smooth,Pooled-seasonal Holt,8.2,-1.74,36.46
CB-1044,Smooth,Pooled-seasonal Holt,5.67,-1.04,98.58
CB-1045,Smooth,Pooled-seasonal Holt,9.29,-1.04,66.05
CB-1046,Smooth,Pooled-seasonal Holt,10.7,-5.74,67.42
CB-1047,Intermittent,Croston-SBA,13.12,-7.91,6.93
CB-1048,Smooth,Pooled-seasonal Holt,6.82,-6.82,76.35
CB-1049,Smooth,Pooled-seasonal Holt,40.62,-13.9,100.2
CB-1050,Smooth,Pooled-seasonal Holt,15.4,-10.98,61.82
CB-1051,Smooth,Pooled-seasonal Holt,6.86,-5.78,26.57
CB-1052,Smooth,Pooled-seasonal Holt,7.14,-4.74,90.87
CB-1053,Smooth,Pooled-seasonal Holt,5.54,-2.14,94.32
CB-1054,Smooth,Pooled-seasonal Holt,9.5,-5.61,145.28
CB-1055,Smooth,Pooled-seasonal Holt,5.14,-5.14,104.99
CB-1056,Intermittent,Croston-SBA,6.41,1.84,4.18
CB-1057,Smooth,Pooled-seasonal Holt,6.04,-1.3,34.42
CB-1058,Smooth,Pooled-seasonal Holt,6.11,0.08,24.34
CB-1059,Smooth,Pooled-seasonal Holt,6.39,-5.92,81.62
CB-1060,Smooth,Pooled-seasonal Holt,2.81,-1.99,93.03
CB-1061,Lumpy,Croston-SBA,14.11,-8.56,6.02
CB-1062,Smooth,Pooled-seasonal Holt,7.94,1.33,49.74
CB-1063,Smooth,Pooled-seasonal Holt,6.43,-5.09,34.05
CB-1064,Smooth,Pooled-seasonal Holt,24.1,-3.56,84.25
CB-1065,Smooth,Pooled-seasonal Holt,2.44,-0.89,80.29
CB-1066,Smooth,Pooled-seasonal Holt,2.72,-2.35,56.76
CB-1067,Smooth,Pooled-seasonal Holt,5.58,2.51,96.93
CB-1068,Smooth,Pooled-seasonal Holt,4.84,-2.86,70.94
CB-1069,Smooth,Pooled-seasonal Holt,9.48,-6.55,151.19
CB-1070,Intermittent,Croston-SBA,6.02,2.2,4.67
CB-1071,Smooth,Pooled-seasonal Holt,9.73,-8.02,125.49
CB-1072,Intermittent,Croston-SBA,6.9,2.2,4.13
CB-1073,Intermittent,Croston-SBA,6.53,6.53,6.53
CB-1074,Smooth,Pooled-seasonal Holt,3.94,-1.95,86.89
CB-1075,Smooth,Pooled-seasonal Holt,31.24,-20.74,89.84
CB-1076,Smooth,Pooled-seasonal Holt,28.3,-10.77,82.35
CB-1077,Intermittent,Croston-SBA,10.03,3.93,7.39
CB-1078,Intermittent,Croston-SBA,10.29,4.68,9.75
CB-1079,Smooth,Pooled-seasonal Holt,2.83,-2.17,52.0
CB-1080,Smooth,Pooled-seasonal Holt,4.89,-4.89,66.04
CB-1081,Intermittent,Croston-SBA,10.56,10.56,10.56
CB-1082,Smooth,Pooled-seasonal Holt,6.73,-5.51,92.94
CB-1083,Smooth,Pooled-seasonal Holt,8.39,-5.45,113.16
CB-1084,Smooth,Pooled-seasonal Holt,6.26,-4.8,149.55
CB-1085,Smooth,Pooled-seasonal Holt,19.88,-3.98,108.44
CB-1086,Intermittent,Croston-SBA,11.25,4.21,8.25
CB-1087,Smooth,Pooled-seasonal Holt,10.65,3.33,83.75
CB-1088,Intermittent,Croston-SBA,9.0,-3.37,4.57
CB-1089,Smooth,Pooled-seasonal Holt,4.61,-3.53,106.45
CB-1090,Intermittent,Croston-SBA,10.31,1.5,7.78
CB-1091,Intermittent,Croston-SBA,7.14,3.39,5.05
CB-1092,Smooth,Pooled-seasonal Holt,7.23,0.39,30.86
