sku_id,week_ahead,forecast_qty
CB-1001,1,4.22
CB-1001,2,4.22
CB-1001,3,4.22
CB-1001,4,4.22
CB-1001,5,4.22
CB-1001,6,4.22
CB-1001,7,4.22
CB-1001,8,4.22
CB-1002,1,58.76
CB-1002,2,60.3
CB-1002,3,61.87
CB-1002,4,63.44
CB-1002,5,65.0
CB-1002,6,66.53
CB-1002,7,68.0
CB-1002,8,69.39
CB-1003,1,7.56
CB-1003,2,7.56
CB-1003,3,7.56
CB-1003,4,7.56
CB-1003,5,7.56
CB-1003,6,7.56
CB-1003,7,7.56
CB-1003,8,7.56
CB-1004,1,149.77
CB-1004,2,154.3
CB-1004,3,158.89
CB-1004,4,163.49
CB-1004,5,168.04
CB-1004,6,172.49
CB-1004,7,176.78
CB-1004,8,180.84
CB-1005,1,64.7
CB-1005,2,66.39
CB-1005,3,68.11
CB-1005,4,69.84
CB-1005,5,71.55
CB-1005,6,73.23
CB-1005,7,74.84
CB-1005,8,76.35
CB-1006,1,7.96
CB-1006,2,7.96
CB-1006,3,7.96
CB-1006,4,7.96
CB-1006,5,7.96
CB-1006,6,7.96
CB-1006,7,7.96
CB-1006,8,7.96
CB-1007,1,130.56
CB-1007,2,133.94
CB-1007,3,137.37
CB-1007,4,140.83
CB-1007,5,144.26
CB-1007,6,147.61
CB-1007,7,150.84
CB-1007,8,153.88
CB-1008,1,10.16
CB-1008,2,10.16
CB-1008,3,10.16
CB-1008,4,10.16
CB-1008,5,10.16
CB-1008,6,10.16
CB-1008,7,10.16
CB-1008,8,10.16
CB-1009,1,4.75
CB-1009,2,4.75
CB-1009,3,4.75
CB-1009,4,4.75
CB-1009,5,4.75
CB-1009,6,4.75
CB-1009,7,4.75
CB-1009,8,4.75
CB-1010,1,7.06
CB-1010,2,7.06
CB-1010,3,7.06
CB-1010,4,7.06
CB-1010,5,7.06
CB-1010,6,7.06
CB-1010,7,7.06
CB-1010,8,7.06
CB-1011,1,129.61
CB-1011,2,133.14
CB-1011,3,136.75
CB-1011,4,140.38
CB-1011,5,143.99
CB-1011,6,147.53
CB-1011,7,150.96
CB-1011,8,154.2
CB-1012,1,134.91
CB-1012,2,138.55
CB-1012,3,142.27
CB-1012,4,146.01
CB-1012,5,149.73
CB-1012,6,153.38
CB-1012,7,156.9
CB-1012,8,160.24
CB-1013,1,93.83
CB-1013,2,96.54
CB-1013,3,99.29
CB-1013,4,102.08
CB-1013,5,104.86
CB-1013,6,107.6
CB-1013,7,110.25
CB-1013,8,112.78
CB-1014,1,95.89
CB-1014,2,98.37
CB-1014,3,100.89
CB-1014,4,103.43
CB-1014,5,105.95
CB-1014,6,108.41
CB-1014,7,110.78
CB-1014,8,113.01
CB-1015,1,130.63
CB-1015,2,134.16
CB-1015,3,137.76
CB-1015,4,141.38
CB-1015,5,144.99
CB-1015,6,148.52
CB-1015,7,151.93
CB-1015,8,155.16
CB-1016,1,121.02
CB-1016,2,124.32
CB-1016,3,127.68
CB-1016,4,131.06
CB-1016,5,134.42
CB-1016,6,137.73
CB-1016,7,140.91
CB-1016,8,143.94
CB-1017,1,60.02
CB-1017,2,61.61
CB-1017,3,63.22
CB-1017,4,64.84
CB-1017,5,66.44
CB-1017,6,68.0
CB-1017,7,69.5
CB-1017,8,70.91
CB-1018,1,123.49
CB-1018,2,126.84
CB-1018,3,130.26
CB-1018,4,133.7
CB-1018,5,137.13
CB-1018,6,140.49
CB-1018,7,143.73
CB-1018,8,146.81
CB-1019,1,10.24
CB-1019,2,10.24
CB-1019,3,10.24
CB-1019,4,10.24
CB-1019,5,10.24
CB-1019,6,10.24
CB-1019,7,10.24
CB-1019,8,10.24
CB-1020,1,44.2
CB-1020,2,45.36
CB-1020,3,46.54
CB-1020,4,47.73
CB-1020,5,48.9
CB-1020,6,50.05
CB-1020,7,51.15
CB-1020,8,52.18
CB-1021,1,80.31
CB-1021,2,82.46
CB-1021,3,84.65
CB-1021,4,86.85
CB-1021,5,89.03
CB-1021,6,91.18
CB-1021,7,93.25
CB-1021,8,95.2
CB-1022,1,43.34
CB-1022,2,44.46
CB-1022,3,45.6
CB-1022,4,46.75
CB-1022,5,47.89
CB-1022,6,49.0
CB-1022,7,50.07
CB-1022,8,51.08
CB-1023,1,9.76
CB-1023,2,9.76
CB-1023,3,9.76
CB-1023,4,9.76
CB-1023,5,9.76
CB-1023,6,9.76
CB-1023,7,9.76
CB-1023,8,9.76
CB-1024,1,64.09
CB-1024,2,65.83
CB-1024,3,67.62
CB-1024,4,69.41
CB-1024,5,71.2
CB-1024,6,72.95
CB-1024,7,74.64
CB-1024,8,76.25
CB-1025,1,101.67
CB-1025,2,104.55
CB-1025,3,107.5
CB-1025,4,110.46
CB-1025,5,113.42
CB-1025,6,116.33
CB-1025,7,119.15
CB-1025,8,121.84
CB-1026,1,6.81
CB-1026,2,6.81
CB-1026,3,6.81
CB-1026,4,6.81
CB-1026,5,6.81
CB-1026,6,6.81
CB-1026,7,6.81
CB-1026,8,6.81
CB-1027,1,64.55
CB-1027,2,66.22
CB-1027,3,67.93
CB-1027,4,69.64
CB-1027,5,71.33
CB-1027,6,72.99
CB-1027,7,74.59
