sku_id,product_family,sb_class,abc_tier,target_service_level,lead_time_weeks,corrected_weekly_forecast,expected_lead_time_demand,safety_stock_method,safety_stock,reorder_point,current_on_hand,gap_vs_reorder_point,status,latest_unit_cost,inventory_value
CB-1001,Trip Unit,Intermittent,B,0.95,4.0,0.6099999999999999,22.5,Empirical bootstrap,49.5,72.0,45,-27.0,Below ROP -- order now,154.9,6970.5
CB-1002,Terminal Block,Smooth,C,0.9,3.0,69.34,208.0,Parametric (z*sigma*sqrt(LT)),42.0,250.0,65,-185.0,Below ROP -- order now,19.22,1249.3
CB-1003,Contact Assembly,Intermittent,C,0.9,5.0,6.81,40.9,Empirical bootstrap,50.1,91.0,0,-91.0,AT ZERO -- order now,142.03,0.0
CB-1004,Molded Case,Smooth,A,0.98,5.0,175.45999999999998,877.3,Parametric (z*sigma*sqrt(LT)),58.2,935.5,510,-425.5,Below ROP -- order now,82.44,42044.4
CB-1005,Trip Unit,Smooth,A,0.98,2.0,70.31,140.6,Parametric (z*sigma*sqrt(LT)),10.7,151.3,235,83.7,At/above ROP -- OK,116.79,27445.65
CB-1006,Terminal Block,Intermittent,C,0.9,6.0,13.07,53.5,Empirical bootstrap,37.5,91.0,11,-80.0,Below ROP -- order now,81.21,893.31
CB-1007,Contact Assembly,Smooth,C,0.9,1.0,147.59,147.6,Parametric (z*sigma*sqrt(LT)),16.2,163.8,425,261.2,At/above ROP -- OK,13.83,5877.75
CB-1008,Molded Case,Intermittent,C,0.9,4.0,18.85,45.9,Empirical bootstrap,53.1,99.0,0,-99.0,AT ZERO -- order now,114.62,0.0
CB-1009,Trip Unit,Intermittent,B,0.95,5.0,10.46,34.6,Empirical bootstrap,64.4,99.0,43,-56.0,Below ROP -- order now,174.8,7516.400000000001
CB-1010,Terminal Block,Intermittent,C,0.9,3.0,14.2,21.4,Empirical bootstrap,29.6,51.0,0,-51.0,AT ZERO -- order now,140.66,0.0
CB-1011,Contact Assembly,Smooth,C,0.9,3.0,141.48999999999998,424.5,Parametric (z*sigma*sqrt(LT)),17.5,442.0,413,-29.0,Below ROP -- order now,10.28,4245.639999999999
CB-1012,Molded Case,Smooth,A,0.98,3.0,152.42,457.3,Parametric (z*sigma*sqrt(LT)),39.7,497.0,418,-79.0,Below ROP -- order now,123.74,51723.32
CB-1013,Trip Unit,Smooth,C,0.9,3.0,110.98,332.9,Parametric (z*sigma*sqrt(LT)),57.5,390.4,24,-366.4,Below ROP -- order now,60.33,1447.92
CB-1014,Terminal Block,Smooth,C,0.9,6.0,109.98,659.9,Parametric (z*sigma*sqrt(LT)),28.8,688.7,51,-637.7,Below ROP -- order now,85.85,4378.349999999999
CB-1015,Contact Assembly,Smooth,A,0.98,3.0,145.6,436.8,Parametric (z*sigma*sqrt(LT)),28.4,465.2,508,42.8,At/above ROP -- OK,86.94,44165.52
CB-1016,Molded Case,Smooth,A,0.98,1.0,130.28,130.3,Parametric (z*sigma*sqrt(LT)),22.5,152.8,434,281.2,At/above ROP -- OK,121.39,52683.26
CB-1017,Trip Unit,Smooth,A,0.98,1.0,70.78999999999999,70.8,Parametric (z*sigma*sqrt(LT)),14.9,85.7,186,100.3,At/above ROP -- OK,126.8,23584.8
CB-1018,Terminal Block,Smooth,A,0.98,5.0,138.2,691.0,Parametric (z*sigma*sqrt(LT)),35.3,726.3,481,-245.3,Below ROP -- order now,150.23,72260.62999999999
CB-1019,Contact Assembly,Intermittent,C,0.9,6.0,8.7,54.5,Empirical bootstrap,53.5,108.0,10,-98.0,Below ROP -- order now,53.68,536.8
CB-1020,Molded Case,Smooth,C,0.9,3.0,58.44,175.3,Parametric (z*sigma*sqrt(LT)),42.1,217.4,34,-183.4,Below ROP -- order now,27.31,928.54
CB-1021,Trip Unit,Smooth,A,0.98,5.0,86.62,433.1,Parametric (z*sigma*sqrt(LT)),29.7,462.8,302,-160.8,Below ROP -- order now,142.18,42938.36
CB-1022,Terminal Block,Smooth,B,0.95,1.0,54.35,54.4,Parametric (z*sigma*sqrt(LT)),25.4,79.8,137,57.2,At/above ROP -- OK,127.67,17490.79
