sku_id,week_start_date,future_4wk_avg_demand
CB-1001,2024-01-01,0.0
CB-1001,2024-01-08,0.0
CB-1001,2024-01-15,0.0
CB-1001,2024-01-22,0.0
CB-1001,2024-01-29,0.0
CB-1001,2024-02-05,0.0
CB-1001,2024-02-12,0.0
CB-1001,2024-02-19,2.2
CB-1001,2024-02-26,2.2
CB-1001,2024-03-04,7.2
CB-1001,2024-03-11,7.2
CB-1001,2024-03-18,10.5
CB-1001,2024-03-25,10.5
CB-1001,2024-04-01,18.0
CB-1001,2024-04-08,18.0
CB-1001,2024-04-15,12.5
CB-1001,2024-04-22,22.0
CB-1001,2024-04-29,15.8
CB-1001,2024-05-06,15.8
CB-1001,2024-05-13,15.8
CB-1001,2024-05-20,6.2
CB-1001,2024-05-27,0.0
CB-1001,2024-06-03,0.0
CB-1001,2024-06-10,0.0
CB-1001,2024-06-17,0.0
CB-1001,2024-06-24,0.0
CB-1001,2024-07-01,4.0
CB-1001,2024-07-08,4.0
CB-1001,2024-07-15,7.5
CB-1001,2024-07-22,7.5
CB-1001,2024-07-29,3.5
CB-1001,2024-08-05,3.5
CB-1001,2024-08-12,0.0
CB-1001,2024-08-19,0.0
CB-1001,2024-08-26,7.5
CB-1001,2024-09-02,7.5
CB-1001,2024-09-09,19.2
CB-1001,2024-09-16,19.2
CB-1001,2024-09-23,11.8
CB-1001,2024-09-30,15.5
CB-1001,2024-10-07,3.8
CB-1001,2024-10-14,8.2
CB-1001,2024-10-21,16.2
CB-1001,2024-10-28,12.5
CB-1001,2024-11-04,12.5
CB-1001,2024-11-11,12.5
CB-1001,2024-11-18,4.5
CB-1001,2024-11-25,4.5
CB-1001,2024-12-02,4.5
CB-1001,2024-12-09,0.0
CB-1001,2024-12-16,0.0
CB-1001,2024-12-23,6.2
CB-1001,2024-12-30,6.2
CB-1001,2025-01-06,6.2
CB-1001,2025-01-13,6.2
CB-1001,2025-01-20,0.0
CB-1001,2025-01-27,0.0
CB-1001,2025-02-03,0.0
CB-1001,2025-02-10,0.0
CB-1001,2025-02-17,0.0
CB-1001,2025-02-24,0.0
CB-1001,2025-03-03,0.0
CB-1001,2025-03-10,0.0
CB-1001,2025-03-17,0.0
CB-1001,2025-03-24,0.0
CB-1001,2025-03-31,6.8
CB-1001,2025-04-07,6.8
CB-1001,2025-04-14,6.8
CB-1001,2025-04-21,12.8
CB-1001,2025-04-28,7.5
CB-1001,2025-05-05,7.5
CB-1001,2025-05-12,7.5
CB-1001,2025-05-19,1.5
CB-1001,2025-05-26,0.0
CB-1001,2025-06-02,5.0
CB-1001,2025-06-09,5.0
CB-1001,2025-06-16,5.0
CB-1001,2025-06-23,5.0
CB-1001,2025-06-30,0.0
CB-1001,2025-07-07,0.0
CB-1001,2025-07-14,0.0
CB-1001,2025-07-21,0.0
CB-1001,2025-07-28,0.0
CB-1001,2025-08-04,0.0
CB-1001,2025-08-11,0.0
CB-1001,2025-08-18,0.0
CB-1001,2025-08-25,11.2
CB-1001,2025-09-01,11.2
CB-1001,2025-09-08,11.2
CB-1001,2025-09-15,11.2
CB-1001,2025-09-22,0.0
