sku_id,product_family,n_weeks,total_demand,mean_demand,std_demand,pct_zero_weeks,stockout_rate,latest_on_hand,adi,cv2,sb_class,nz_mean,nz_std,latest_lead_time_days,latest_supplier_id,latest_unit_cost,inventory_value,weeks_of_supply,paradox_tag
CB-1001,Trip Unit,104,553.0,5.3173076923076925,11.871696309442456,78.84615384615384,0.09615384615384616,45,4.7272727272727275,0.2558623192907991,Intermittent,25.136363636363637,13.013895337733121,28,SUP-101,154.9,6970.5,8.462929475587703,Overstocked / slow-moving
CB-1002,Terminal Block,104,5971.0,57.41346153846154,23.66580039402362,0.0,0.04807692307692308,65,1.0,0.16827469653820856,Smooth,57.41346153846154,23.66580039402362,21,SUP-102,19.22,1249.3,1.1321386702394909,Reasonably balanced
CB-1003,Contact Assembly,104,850.0,8.173076923076923,16.59362511099134,74.03846153846155,0.08653846153846154,0,3.8518518518518516,0.3194685121107267,Intermittent,31.48148148148148,18.132780283170057,35,SUP-103,142.03,0.0,0.0,Reasonably balanced
CB-1004,Molded Case,104,13853.0,133.20192307692307,24.99762311329647,0.0,0.057692307692307696,510,1.0,0.03488030930872897,Smooth,133.20192307692307,24.99762311329647,35,SUP-104,82.44,42044.4,3.8287735508554106,Reasonably balanced
CB-1005,Trip Unit,104,6388.0,61.42307692307692,10.91511138101874,0.0,0.009615384615384616,235,1.0,0.03127498373790243,Smooth,61.42307692307692,10.91511138101874,14,SUP-105,116.79,27445.65,3.82592360676268,Reasonably balanced
CB-1006,Terminal Block,104,937.0,9.009615384615385,16.354979166601073,69.23076923076923,0.08653846153846154,11,3.25,0.3118640863173984,Intermittent,29.28125,16.613702807253475,42,SUP-106,81.21,893.31,1.2209178228388473,Reasonably balanced
CB-1007,Contact Assembly,104,13014.0,125.13461538461539,23.124843822010615,0.0,0.0,425,1.0,0.03382256778758599,Smooth,125.13461538461539,23.124843822010615,7,SUP-107,13.83,5877.75,3.396342400491778,Reasonably balanced
CB-1008,Molded Case,104,1233.0,11.85576923076923,19.515201079900436,66.34615384615384,0.10576923076923077,0,2.9714285714285715,0.23961628348294312,Intermittent,35.22857142857143,17.49636216690859,28,SUP-108,114.62,0.0,0.0,Reasonably balanced
CB-1009,Trip Unit,104,723.0,6.951923076923077,15.26744096263101,78.84615384615384,0.07692307692307693,43,4.7272727272727275,0.22199074472623473,Intermittent,32.86363636363637,15.84837517447753,35,SUP-109,174.8,7516.400000000001,6.185338865836791,Overstocked / slow-moving
CB-1010,Terminal Block,104,764.0,7.346153846153846,14.906028773665518,75.0,0.07692307692307693,0,4.0,0.2694073627367672,Intermittent,29.384615384615383,15.55397549972848,21,SUP-110,140.66,0.0,0.0,Reasonably balanced
CB-1011,Contact Assembly,104,12641.0,121.54807692307692,22.78940300819119,0.0,0.04807692307692308,413,1.0,0.03481557710224773,Smooth,121.54807692307692,22.78940300819119,21,SUP-111,10.28,4245.639999999999,3.3978324499644015,Reasonably balanced
CB-1012,Molded Case,104,13343.5,128.3028846153846,24.29585228388066,0.0,0.028846153846153848,418,1.0,0.03551365087830202,Smooth,128.3028846153846,24.29585228388066,21,SUP-100,123.74,51723.32,3.257915839172631,Reasonably balanced
CB-1013,Trip Unit,104,8199.5,78.84134615384616,33.186678841655855,1.9230769230769231,0.038461538461538464,24,1.0196078431372548,0.15287294422850145,Smooth,80.38725490196079,31.58580227350754,21,SUP-101,60.33,1447.92,0.3044088054149643,Reasonably balanced
CB-1014,Terminal Block,104,9125.0,87.74038461538461,14.638687399581753,0.0,0.07692307692307693,51,1.0,0.027568243197598048,Smooth,87.74038461538461,14.638687399581753,42,SUP-102,85.85,4378.349999999999,0.5812602739726027,Reasonably balanced
CB-1015,Contact Assembly,104,12957.0,124.58653846153847,22.253879590612005,0.0,0.038461538461538464,508,1.0,0.031598983652084356,Smooth,124.58653846153847,22.253879590612005,21,SUP-103,86.94,44165.52,4.077487072624836,Reasonably balanced
CB-1016,Molded Case,104,11752.0,113.0,22.12058743228837,0.0,0.019230769230769232,434,1.0,0.037952493117345505,Smooth,113.0,22.12058743228837,7,SUP-104,121.39,52683.26,3.84070796460177,Reasonably balanced
CB-1017,Trip Unit,104,5888.0,56.61538461538461,10.089221098524236,0.0,0.0,186,1.0,0.03145214289933837,Smooth,56.61538461538461,10.089221098524236,7,SUP-105,126.8,23584.8,3.285326086956522,Reasonably balanced
CB-1018,Terminal Block,104,12010.0,115.48076923076923,22.478028439107728,0.0,0.07692307692307693,481,1.0,0.0375232962262228,Smooth,115.48076923076923,22.478028439107728,35,SUP-106,150.23,72260.62999999999,4.1651956702747714,Reasonably balanced
CB-1019,Contact Assembly,104,940.0,9.038461538461538,16.96193515528516,75.0,0.09615384615384616,10,4.0,0.12197827071072885,Intermittent,36.15384615384615,12.87693226725157,42,SUP-107,53.68,536.8,1.1063829787234043,Reasonably balanced
CB-1020,Molded Case,104,4427.0,42.56730769230769,16.906231644256522,0.9615384615384616,0.04807692307692308,34,1.0097087378640777,0.14510553425243541,Smooth,42.980582524271846,16.452534569937413,21,SUP-108,27.31,928.54,0.7987350350124237,Reasonably balanced
CB-1021,Trip Unit,104,8176.0,78.61538461538461,15.306770944384013,0.0,0.0673076923076923,302,1.0,0.037545333389501424,Smooth,78.61538461538461,15.306770944384013,35,SUP-109,142.18,42938.36,3.8414872798434443,Reasonably balanced
CB-1022,Terminal Block,104,4618.0,44.40384615384615,17.326963795883817,0.0,0.0,137,1.0,0.1508021879849145,Smooth,44.40384615384615,17.326963795883817,7,SUP-110,127.67,17490.79,3.0853183196188825,Reasonably balanced
CB-1023,Contact Assembly,104,821.0,7.894230769230769,17.050421097342845,76.92307692307693,0.04807692307692308,12,4.333333333333333,0.2969537461371043,Intermittent,34.208333333333336,19.04223947066025,28,SUP-111,103.45,1241.4,1.5200974421437272,Reasonably balanced
CB-1024,Molded Case,104,6028.0,57.96153846153846,9.856172554089245,0.0,0.028846153846153848,15,1.0,0.02863786734676355,Smooth,57.96153846153846,9.856172554089245,21,SUP-100,22.83,342.45,0.258792302587923,Reasonably balanced
CB-1025,Trip Unit,104,9177.0,88.24038461538461,33.43287585895281,0.0,0.057692307692307696,109,1.0,0.14217281813817675,Smooth,88.24038461538461,33.43287585895281,28,SUP-101,102.83,11208.47,1.2352620682140134,Reasonably balanced
CB-1026,Terminal Block,104,921.0,8.85576923076923,16.589514918398965,73.07692307692307,0.08653846153846154,36,3.7142857142857144,0.20494529267036138,Intermittent,32.892857142857146,15.164137238928506,21,SUP-102,115.16,4145.76,4.06514657980456,Reasonably balanced
CB-1027,Contact Assembly,104,6591.0,63.375,22.640794653109502,0.0,0.0,132,1.0,0.12640122191608483,Smooth,63.375,22.640794653109502,7,SUP-103,56.45,7451.400000000001,2.0828402366863905,Reasonably balanced
CB-1028,Molded Case,104,11888.0,114.3076923076923,20.208177198619723,0.0,0.028846153846153848,107,1.0,0.030953321172577077,Smooth,114.3076923076923,20.208177198619723,28,SUP-104,80.02,8562.14,0.9360699865410498,Reasonably balanced
CB-1029,Trip Unit,104,9023.0,86.75961538461539,16.600090766103293,0.0,0.0,202,1.0,0.036256808658808315,Smooth,86.75961538461539,16.600090766103293,14,SUP-105,153.98,31103.96,2.32827219328383,Reasonably balanced
CB-1030,Terminal Block,104,10905.0,104.85576923076923,19.98903498898555,0.0,0.028846153846153848,75,1.0,0.03599174312100188,Smooth,104.85576923076923,19.98903498898555,21,SUP-106,12.85,963.75,0.7152682255845942,Reasonably balanced
CB-1031,Contact Assembly,104,5970.0,57.40384615384615,10.866818856214156,0.0,0.07692307692307693,57,1.0,0.035491696337634576,Smooth,57.40384615384615,10.866818856214156,42,SUP-107,119.99,6839.429999999999,0.992964824120603,Reasonably balanced
CB-1032,Molded Case,104,5466.0,52.55769230769231,18.7848456392597,0.0,0.019230769230769232,168,1.0,0.12651632571721352,Smooth,52.55769230769231,18.7848456392597,14,SUP-108,141.64,23795.519999999997,3.1964873765093307,Reasonably balanced
CB-1033,Trip Unit,104,3320.0,31.923076923076923,12.367112908951839,0.0,0.057692307692307696,73,1.0,0.1486384090579184,Smooth,31.923076923076923,12.367112908951839,21,SUP-109,146.99,10730.27,2.2867469879518074,Reasonably balanced
CB-1034,Terminal Block,104,8930.0,85.86538461538461,15.992144729663947,0.0,0.04807692307692308,332,1.0,0.03435429726540506,Smooth,85.86538461538461,15.992144729663947,21,SUP-110,6.53,2167.96,3.8665173572228446,Reasonably balanced
CB-1035,Contact Assembly,104,13165.0,126.58653846153847,23.77304117967546,0.0,0.0673076923076923,450,1.0,0.034929978829282546,Smooth,126.58653846153847,23.77304117967546,35,SUP-111,84.48,38016.0,3.554880364603114,Reasonably balanced
CB-1036,Molded Case,104,5825.0,56.00961538461539,10.701143385337263,0.0,0.057692307692307696,7,1.0,0.03615256129234282,Smooth,56.00961538461539,10.701143385337263,35,SUP-100,91.44,640.0799999999999,0.12497854077253219,Reasonably balanced
CB-1037,Trip Unit,104,6742.0,64.82692307692308,12.145111532215244,0.0,0.057692307692307696,0,1.0,0.03476130581738722,Smooth,64.82692307692308,12.145111532215244,21,SUP-101,81.69,0.0,0.0,Reasonably balanced
CB-1038,Terminal Block,104,5839.0,56.14423076923077,9.598157457918953,0.0,0.0673076923076923,185,1.0,0.028944720086610167,Smooth,56.14423076923077,9.598157457918953,35,SUP-102,56.02,10363.7,3.295084774790204,Reasonably balanced
CB-1039,Contact Assembly,104,4286.0,41.21153846153846,16.945184656622953,0.9615384615384616,0.019230769230769232,216,1.0097087378640777,0.15621447293154486,Smooth,41.61165048543689,16.527002865606917,28,SUP-103,18.06,3900.9599999999996,5.241250583294447,Reasonably balanced
CB-1040,Molded Case,104,6765.0,65.04807692307692,11.992214147077481,0.0,0.019230769230769232,240,1.0,0.03366151919934841,Smooth,65.04807692307692,11.992214147077481,21,SUP-104,173.24,41577.600000000006,3.689578713968958,Reasonably balanced
CB-1041,Trip Unit,104,716.0,6.884615384615385,14.699783825309437,77.88461538461539,0.07692307692307693,0,4.521739130434782,0.21968337442651603,Intermittent,31.130434782608695,14.918884761591407,21,SUP-105,49.69,0.0,0.0,Reasonably balanced
CB-1042,Terminal Block,104,780.0,7.5,14.833051522722094,72.11538461538461,0.0673076923076923,0,3.586206896551724,0.35905325443786984,Intermittent,26.896551724137932,16.40197032499059,35,SUP-106,140.73,0.0,0.0,Reasonably balanced
CB-1043,Contact Assembly,104,3397.0,32.66346153846154,12.007773030172473,0.0,0.09615384615384616,27,1.0,0.13384569615833608,Smooth,32.66346153846154,12.007773030172473,35,SUP-107,50.82,1372.14,0.8266117162201942,Reasonably balanced
CB-1044,Molded Case,104,8922.0,85.78846153846153,16.466897112776838,0.0,0.028846153846153848,354,1.0,0.036489647683093325,Smooth,85.78846153846153,16.466897112776838,21,SUP-108,162.71,57599.340000000004,4.126429051782112,Reasonably balanced
CB-1045,Trip Unit,104,6391.0,61.45192307692308,23.782134033313564,0.0,0.07692307692307693,182,1.0,0.1483319047985475,Smooth,61.45192307692308,23.782134033313564,35,SUP-109,56.81,10339.42,2.9616648411829134,Reasonably balanced
